date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,0,61,33,38,40,0,41,30,29,54,0
09-00-15,0,61,35,38,39,0,42,32,0,55,0
09-00-25,0,61,33,38,40,0,42,31,0,54,0
09-00-35,0,61,34,38,40,0,42,31,0,55,0
09-00-45,0,61,34,38,40,0,42,30,0,55,0
09-00-55,0,61,33,37,40,0,41,31,29,54,0
09-01-05,0,61,34,37,40,0,42,31,0,55,0
09-01-15,0,61,34,38,40,0,42,30,0,55,0
09-01-25,0,61,33,38,40,0,41,30,0,54,0
09-01-35,0,61,34,38,40,0,42,31,0,55,0
09-01-45,0,61,35,38,40,0,42,31,0,55,0
09-01-55,0,61,35,37,41,0,40,31,0,55,0
09-02-05,0,61,35,38,40,0,42,30,0,55,0
09-02-15,0,61,32,38,40,0,42,30,0,54,0
09-02-25,0,61,42,38,38,0,47,32,0,55,0
09-02-35,0,61,38,39,38,0,44,32,0,55,0
09-02-45,0,61,40,38,39,0,45,31,29,54,0
09-02-55,0,61,42,41,41,0,43,34,29,54,0
09-03-05,0,61,45,42,41,0,42,31,29,53,0
09-03-15,0,61,46,41,41,0,42,32,0,54,0
09-03-25,0,61,40,39,37,0,41,31,29,55,0
09-03-35,0,61,41,38,41,0,44,31,30,53,0
09-03-45,0,60,39,38,41,0,44,32,31,54,0
09-03-55,0,61,40,38,38,0,44,31,0,54,0
09-04-05,0,61,39,38,39,0,43,32,29,53,0
09-04-15,0,61,40,38,40,0,44,32,30,55,0
09-04-25,0,61,39,38,39,0,43,32,30,54,0
09-04-35,0,61,39,39,39,0,44,32,30,54,0
09-04-45,0,61,41,38,40,0,43,32,0,54,0
09-04-55,0,61,40,38,39,0,42,31,29,54,0
09-05-05,0,61,40,37,40,0,44,32,29,54,0
09-05-15,0,61,40,38,40,0,45,32,0,54,0
09-05-25,0,61,40,38,40,0,46,32,30,54,0
09-05-35,0,61,41,39,40,0,45,32,31,54,0
09-05-45,0,61,41,38,40,0,46,33,0,54,0
09-05-55,0,61,40,39,40,0,45,32,30,54,0
09-06-05,0,61,39,38,39,0,43,32,30,54,0
