date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
10-51-05,35,0,0,0,0,0,45,0,53,53,0
10-52-05,35,0,0,0,0,0,44,0,53,52,0
10-53-05,35,0,0,0,0,0,45,0,53,53,0
10-54-05,35,0,0,0,0,0,45,0,53,53,0
10-55-05,35,0,0,0,0,0,44,0,53,53,0
10-56-05,34,0,0,0,0,0,45,0,53,53,0
10-57-05,35,0,0,0,0,0,44,0,53,53,0
10-58-05,35,0,0,0,0,0,45,0,53,53,0
10-59-05,34,0,0,0,0,0,44,0,53,53,0
11-00-05,34,0,0,0,0,0,45,0,53,52,0
11-01-05,35,0,0,0,0,0,45,0,53,53,0
11-02-05,35,0,0,0,0,0,44,0,53,53,0
11-03-05,35,0,0,0,0,0,45,0,53,53,0
11-04-05,35,0,0,0,0,0,44,0,53,53,0
11-05-05,35,0,0,0,0,0,44,0,53,53,0
11-06-05,35,32,0,0,0,0,45,0,53,53,0
11-07-05,35,32,0,0,0,0,45,0,53,53,0
11-08-05,35,0,0,0,0,0,44,0,53,53,0
11-09-05,35,0,0,0,0,0,45,0,53,53,0
11-10-05,36,0,0,0,0,0,44,0,52,53,0
11-11-05,36,0,0,0,0,0,43,0,53,53,0
11-12-05,34,0,0,0,0,0,44,0,53,53,0
11-13-05,35,0,0,0,0,0,44,0,53,53,0
11-14-05,35,0,0,0,0,0,45,0,53,52,0
11-15-05,35,0,0,0,0,0,45,0,53,53,0
11-16-05,35,0,0,0,0,0,44,0,53,53,0
11-17-05,35,0,0,0,0,0,45,0,53,53,0
11-18-05,35,0,0,0,0,0,44,0,53,53,0
11-19-05,34,0,0,0,0,0,45,0,53,53,0
11-20-05,34,0,0,0,0,0,45,0,53,52,0
11-21-05,34,0,0,0,0,0,45,0,53,53,0
11-22-05,35,0,0,0,0,0,45,0,53,53,0
11-23-05,35,0,0,0,0,0,44,0,53,53,0
11-24-05,35,0,0,0,0,0,45,0,53,53,0
11-25-05,34,0,0,0,0,0,44,0,52,52,0
11-26-05,35,0,0,0,0,0,44,0,53,53,0
11-27-05,36,0,0,0,0,0,45,0,53,53,0
11-28-05,34,0,0,0,0,0,45,0,53,53,0
11-29-05,35,0,0,0,0,0,44,0,52,53,0
11-30-05,36,0,0,0,0,0,44,0,53,53,0
11-31-05,35,0,0,0,0,0,44,0,53,53,0
11-32-05,35,0,0,0,0,0,45,0,53,53,0
11-33-05,35,0,0,0,0,0,44,0,53,53,0
11-34-05,35,0,0,0,0,0,44,0,53,53,0
11-35-05,35,0,0,0,0,0,45,0,53,53,0
11-36-05,35,0,0,0,0,0,45,0,53,53,0
11-37-05,36,0,0,0,0,0,45,0,53,53,0
11-38-05,35,0,0,0,0,0,44,0,53,53,0
11-39-05,35,0,0,0,0,0,45,0,53,53,0
11-40-05,35,0,0,0,0,0,45,0,53,53,0
11-41-05,35,0,0,0,0,0,45,0,53,53,0
11-42-05,35,0,0,0,0,0,45,0,53,53,0
11-43-05,36,0,0,0,0,0,44,0,53,53,0
11-44-05,34,0,0,0,0,0,45,0,53,53,0
11-45-05,35,0,0,0,0,0,45,0,53,53,0
11-46-05,35,0,0,0,0,0,45,0,53,53,0
11-47-05,35,0,0,0,0,0,45,0,53,53,0
11-48-05,35,0,0,0,0,0,45,0,53,53,0
11-49-05,35,0,0,0,0,0,45,0,53,53,0
11-50-05,35,0,0,0,0,0,45,0,53,53,0
11-51-05,35,0,0,0,0,0,45,0,53,53,0
11-52-05,35,0,0,0,0,0,45,0,53,53,0
11-53-05,35,0,0,0,0,0,44,0,52,53,0
11-54-05,35,0,0,0,0,0,46,0,53,53,0
11-55-05,33,0,0,0,0,0,46,0,54,53,0
11-56-05,38,0,0,0,0,0,46,0,53,53,0
11-57-05,40,0,0,0,0,0,46,0,53,53,0
11-58-05,42,0,0,0,0,0,46,0,53,53,0
11-59-05,40,0,0,0,0,0,49,0,54,50,0
12-00-05,40,31,0,0,48,0,48,0,53,49,0
