date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
11-11-05,0,0,0,0,0,0,0,0,36,0,0
11-12-05,0,0,0,0,0,0,0,0,36,0,0
11-13-05,0,0,0,0,0,33,0,0,35,0,36
11-14-05,0,0,0,0,0,0,0,0,33,0,0
11-15-05,0,0,0,0,0,0,0,0,41,0,0
11-16-05,0,33,0,0,0,0,0,0,43,0,0
11-17-05,0,34,0,0,0,0,0,0,48,0,0
11-18-15,0,0,0,0,0,0,0,0,32,0,0
11-24-25,0,0,0,0,0,0,0,0,33,0,32
11-25-35,0,0,0,0,0,0,0,0,38,0,0
11-26-05,0,0,0,0,0,0,0,0,33,0,0
11-27-15,0,0,0,0,0,0,0,0,32,0,0
11-28-35,0,33,0,0,0,0,0,0,0,0,0
11-29-05,0,34,0,0,0,0,0,0,0,0,0
11-30-05,0,0,0,0,0,0,0,0,34,33,0
11-31-05,0,0,0,0,0,0,0,0,35,34,0
11-32-05,0,0,0,0,0,0,0,0,37,34,0
11-33-05,0,0,0,0,0,0,32,0,39,32,0
11-34-05,0,0,0,0,0,0,37,0,36,0,0
11-36-15,0,32,0,0,0,0,0,0,0,0,0
11-37-05,0,0,0,0,0,32,40,0,48,47,0
11-38-05,0,0,0,0,0,0,33,0,32,0,0
11-39-05,0,0,0,0,0,0,32,0,47,0,0
11-40-05,0,0,0,0,0,34,32,0,33,0,0
11-41-05,0,0,0,0,0,0,0,0,39,0,0
11-42-05,0,0,0,0,0,0,0,0,33,0,32
11-43-05,0,0,0,0,0,0,48,0,33,48,0
11-44-05,0,0,0,0,0,0,53,0,34,38,0
11-45-25,0,0,0,0,0,0,0,0,37,0,0
11-46-25,0,0,0,0,0,0,0,0,48,34,0
11-48-55,0,0,0,0,0,0,32,0,0,0,0
11-49-05,0,0,0,0,0,0,0,0,0,36,0
11-50-25,0,0,0,0,0,0,44,0,0,0,0
11-51-05,0,0,0,0,0,0,49,0,0,0,0
11-52-05,0,0,0,0,0,32,0,0,35,0,33
11-53-05,0,0,0,0,0,0,0,0,32,0,0
11-54-05,0,0,0,0,0,0,32,0,33,0,0
11-55-05,0,0,0,0,0,0,0,0,33,0,0
11-56-05,0,0,0,0,0,32,0,0,33,0,0
11-57-05,0,0,0,0,0,0,0,0,33,0,0
11-58-05,0,0,0,0,0,0,0,0,32,0,0
11-59-05,0,0,0,0,0,35,0,0,0,0,0
12-00-05,0,39,0,0,0,33,0,0,0,0,0
12-01-05,0,33,0,0,0,0,0,0,0,0,0
12-02-05,0,37,0,0,0,0,0,0,0,0,0
12-03-05,0,0,0,0,0,0,36,0,40,0,0
12-04-05,0,34,0,0,0,40,0,0,0,0,0
12-05-05,0,33,0,0,0,0,0,0,0,0,0
12-06-05,0,0,0,0,0,0,0,0,0,33,0
12-07-05,0,35,0,0,0,0,0,0,0,36,0
12-08-05,0,0,0,0,0,35,0,0,0,0,0
12-09-05,0,32,0,0,0,0,0,0,0,0,0
12-10-05,0,32,0,0,0,0,36,0,0,39,0
12-11-25,0,32,0,0,0,0,0,0,0,32,0
12-12-25,0,0,0,0,0,0,0,0,0,33,0
12-13-05,0,0,0,0,0,32,0,0,0,32,0
12-14-25,0,0,0,0,0,0,0,0,0,33,0
12-16-05,0,0,0,0,0,0,0,0,0,32,0
12-17-05,0,32,0,0,0,0,0,0,0,39,0
12-18-05,0,33,0,0,0,0,0,0,0,36,0
12-19-05,0,0,0,0,0,0,0,0,0,35,0
12-20-05,0,0,0,0,0,0,0,0,0,37,0
12-21-05,0,33,0,0,0,0,0,0,0,39,0
12-22-05,0,32,0,0,0,0,0,0,0,35,0
12-23-05,0,0,0,0,0,0,0,0,0,35,0
12-24-25,0,32,0,0,0,0,0,0,0,32,0
12-25-05,0,0,0,0,0,0,0,0,0,34,0
12-26-05,0,0,0,0,0,0,0,0,0,33,0
12-27-05,0,0,0,0,0,0,0,0,0,32,0
12-28-15,0,0,0,0,0,0,0,0,0,34,0
12-29-05,0,33,0,0,0,0,0,0,0,33,0
12-30-05,0,0,0,0,0,0,0,0,0,33,0
12-31-05,0,34,0,0,0,0,0,0,0,33,0
12-32-05,0,0,0,0,0,0,34,0,0,34,33
12-33-15,0,0,0,0,0,0,0,0,0,35,0
12-34-05,0,0,0,0,0,0,0,0,0,35,0
12-35-05,0,32,0,0,0,0,0,0,0,0,37
12-36-15,0,0,0,0,0,0,0,0,0,35,0
12-37-05,0,33,0,0,0,0,0,0,0,32,32
