date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin
09-40-05,31,34,31,0,32,30,0,0,30,31,31
09-41-05,34,0,34,0,39,0,0,0,33,37,35
09-42-05,41,31,31,0,0,0,0,0,0,30,37
09-43-05,39,0,34,0,52,32,0,0,51,40,33
09-44-05,32,31,37,0,39,32,0,0,31,35,38
09-45-05,35,37,39,0,0,30,0,0,41,31,34
09-46-05,0,36,34,0,30,0,0,0,31,30,31
09-47-05,0,0,35,0,30,31,0,0,35,31,0
09-48-05,0,0,0,0,0,0,0,0,33,0,34
09-49-05,0,0,0,0,0,0,0,0,0,0,35
09-50-05,0,0,0,0,0,0,0,0,33,0,32
09-52-25,0,31,0,0,0,0,0,0,0,0,0
09-53-05,0,32,0,0,0,0,0,0,0,0,0
09-54-05,0,0,0,0,31,30,0,0,0,32,0
09-55-05,0,0,0,0,0,33,0,0,35,0,0
09-56-05,0,0,0,0,30,0,0,0,0,0,0
09-57-05,0,0,0,0,0,0,0,0,0,0,0
09-58-05,0,0,0,0,0,34,0,0,0,0,0
09-59-05,0,0,0,0,0,31,0,0,38,0,0
10-00-05,0,0,0,0,0,32,0,0,38,0,0
10-01-05,0,0,0,0,0,36,0,0,32,0,0
10-02-05,0,0,0,0,31,32,0,0,32,31,31
10-03-05,0,0,0,0,0,31,0,0,36,0,0
10-04-05,0,0,0,0,0,31,0,0,34,0,0
10-05-05,0,0,0,0,0,31,0,0,39,0,32
10-06-05,0,0,0,0,0,32,0,0,33,0,33
10-07-05,0,0,0,0,0,30,0,0,30,0,0
10-08-05,0,31,0,0,0,34,0,0,0,0,0
10-09-05,0,0,0,0,0,36,0,0,0,0,0
10-10-05,0,0,0,0,0,32,0,0,31,0,0
10-11-05,0,0,0,0,0,39,0,0,31,0,32
10-12-05,0,0,0,0,30,34,0,0,32,31,0
10-13-05,0,0,0,0,0,32,0,0,30,0,0
10-14-05,0,0,0,0,0,31,0,0,31,31,0
10-15-05,0,33,0,0,0,32,0,0,35,33,0
10-16-05,0,0,0,0,0,0,0,0,0,46,0
10-17-05,0,0,0,0,0,0,0,0,0,50,0
10-18-05,0,0,0,0,0,0,0,0,0,39,30
10-19-05,0,0,0,0,0,46,0,0,33,0,33
10-20-05,0,0,0,0,0,0,0,0,30,0,0
10-21-15,0,39,0,0,0,36,0,0,32,0,0
10-22-15,0,0,0,0,0,0,0,0,31,0,0
10-23-05,0,0,0,0,0,33,0,0,31,0,0
10-24-05,0,0,0,0,0,0,0,0,32,0,0
10-25-05,0,0,0,0,0,0,0,0,31,0,0
10-26-05,0,0,0,0,32,0,0,0,31,30,0
10-27-05,0,30,0,0,32,0,0,0,31,30,0
10-28-05,0,0,0,0,30,31,0,0,34,33,0
10-29-05,0,32,0,0,33,0,0,0,32,0,0
10-30-05,0,0,0,0,34,0,0,0,31,0,0
10-31-05,0,33,0,0,31,0,0,0,0,0,0
10-32-05,0,0,0,0,35,0,0,0,39,0,0
10-33-05,0,0,0,0,33,31,0,0,32,0,0
10-34-05,0,0,0,0,31,0,0,0,0,0,0
10-35-05,0,0,0,0,30,0,0,0,0,0,0
10-36-15,0,0,0,0,30,0,0,0,0,0,0
10-37-05,0,0,0,0,30,0,0,0,0,0,0
10-38-05,0,0,0,0,32,30,0,0,0,0,0
10-39-05,0,0,0,0,30,39,0,0,0,0,0
10-40-05,0,0,0,0,31,30,0,0,0,0,0
10-41-05,0,0,0,0,32,0,0,0,0,40,0
10-42-05,0,0,0,0,0,32,0,0,0,31,0
10-43-05,0,34,0,0,0,0,0,0,0,31,30
10-44-05,0,30,0,0,32,0,0,0,0,0,34
10-45-05,0,0,0,0,0,0,0,0,0,0,33
10-46-05,0,31,0,0,30,0,0,0,0,0,0
10-47-05,0,0,0,0,0,0,0,0,0,0,0
10-48-05,0,0,0,0,0,30,0,0,0,0,34
10-49-05,0,30,0,0,0,0,0,0,0,0,34
10-50-05,0,0,0,0,0,0,0,0,0,0,37
10-51-05,0,0,0,0,0,0,0,0,0,31,32
10-52-05,0,30,0,0,0,34,0,0,34,0,33
10-53-05,0,0,0,0,0,0,0,0,0,0,30
10-54-15,0,0,0,0,0,0,0,0,0,0,30
10-55-05,0,0,0,0,0,37,0,0,0,0,33
10-56-05,0,0,0,0,0,37,0,0,35,31,32
10-57-05,0,0,0,0,0,46,0,0,0,31,0
10-58-05,0,0,0,0,0,30,0,0,40,33,0
10-59-05,0,0,0,0,0,0,0,0,31,32,31
11-00-05,0,32,0,0,0,31,0,0,32,32,34
11-01-05,0,0,0,0,0,0,0,0,31,30,0
11-02-05,0,0,0,0,0,32,0,0,35,30,31
11-03-05,0,0,0,0,31,31,0,0,31,0,32
11-04-05,0,36,0,0,0,0,0,0,0,0,32
11-05-05,0,0,0,0,0,0,0,0,31,0,30
11-06-55,0,0,0,0,0,0,0,0,0,30,0
11-07-05,0,0,0,0,0,0,0,0,0,31,0
11-08-05,0,33,0,0,0,0,0,0,0,0,0
11-09-05,0,31,0,0,0,31,0,0,0,0,0
11-10-05,0,0,0,0,0,30,0,0,0,0,0
11-11-05,0,0,0,0,0,34,0,0,0,0,0
11-12-05,0,0,0,0,0,0,0,0,0,30,0
11-13-15,0,0,0,0,0,37,0,0,0,0,0
11-14-05,0,0,0,0,0,32,0,0,0,0,0
11-15-05,0,0,0,0,0,34,0,0,0,0,31
11-16-05,0,0,0,0,0,31,0,0,0,32,0
11-17-05,0,0,0,0,0,33,0,0,0,0,0
11-18-05,0,0,0,0,0,0,0,0,30,0,30
11-19-25,0,0,0,0,0,0,0,0,0,31,0
11-20-05,0,0,0,0,0,0,0,0,0,31,0
11-21-35,0,0,0,0,0,30,0,0,0,0,0
11-22-05,0,0,0,0,0,30,0,0,0,0,0
11-23-25,0,0,0,0,0,0,0,0,0,31,0
11-24-15,0,0,0,0,0,30,0,0,0,0,0
11-25-05,0,0,0,0,0,32,0,0,0,0,0
11-26-05,0,0,0,0,0,33,0,0,0,0,0
11-27-05,0,0,0,0,0,33,0,0,0,0,31
11-28-05,0,0,0,0,0,31,0,0,30,0,0
11-29-05,0,30,0,0,0,37,0,0,31,0,34
11-30-05,0,0,0,0,0,31,0,0,0,0,0
