date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-41,0,0,41,35,0,0,55,0,0,0,0,0,33,0,56,0
09-13-51,0,0,45,0,0,0,55,0,0,37,0,0,0,43,58,0
09-14-01,0,33,45,33,0,0,54,0,0,38,0,0,0,44,56,0
09-14-11,0,33,43,34,0,0,54,0,0,0,0,0,0,45,57,0
09-14-21,0,0,38,0,0,0,54,0,0,40,0,0,0,42,57,0
09-14-31,0,0,44,0,0,0,55,0,0,0,0,0,0,43,57,0
09-14-41,0,0,41,35,0,0,55,0,0,38,0,0,0,45,58,0
09-14-51,0,0,44,0,0,0,54,0,0,38,0,0,0,44,56,0
09-15-01,0,0,43,0,0,0,54,0,0,39,0,0,0,43,58,0
09-15-11,33,0,44,0,0,0,54,0,0,41,0,0,0,43,57,0
09-15-21,0,0,43,0,0,0,53,0,0,40,0,0,33,45,58,0
09-15-31,0,0,0,0,0,0,53,0,0,41,0,0,33,44,57,0
09-15-41,0,0,43,0,0,0,55,0,0,43,0,0,0,47,58,0
09-15-51,0,0,42,0,0,34,55,0,0,42,0,0,0,45,58,0
09-16-01,0,0,42,0,0,0,54,0,0,39,0,0,0,44,58,0
09-16-11,33,0,42,0,0,33,54,0,0,40,0,0,33,46,58,0
09-16-21,0,34,41,0,0,33,53,0,0,37,0,0,0,44,58,0
09-16-31,0,0,41,35,0,33,54,0,0,42,0,0,35,40,58,0
09-16-41,0,0,41,0,0,0,54,0,0,40,0,0,0,43,58,0
09-16-51,33,0,43,0,0,0,54,0,0,42,0,0,33,0,56,0
09-17-01,0,0,39,0,0,33,54,0,0,41,0,0,0,45,57,0
09-17-11,0,0,42,0,0,33,54,0,0,41,0,0,33,45,58,0
09-17-21,0,0,42,0,0,0,54,0,0,42,0,0,0,46,60,0
09-17-31,0,0,45,0,0,0,54,0,0,40,0,0,0,45,58,0
09-17-41,0,0,43,0,0,0,53,0,0,42,0,0,0,45,56,0
09-17-51,0,0,43,0,0,0,54,0,0,41,0,0,33,45,58,0
09-18-01,0,0,43,0,0,0,54,0,0,0,0,0,0,46,58,0
09-18-11,0,0,0,0,0,0,54,0,0,41,0,0,0,46,57,0
09-18-21,0,0,43,0,0,0,53,0,0,38,0,0,34,45,57,0
09-18-31,33,0,0,0,0,33,54,0,0,41,0,0,34,45,57,0
09-18-41,33,0,42,0,0,0,54,0,0,42,0,0,0,44,57,0
09-18-51,0,0,42,0,0,33,55,0,0,42,0,0,0,43,56,0
09-19-01,33,0,43,0,0,33,54,0,0,41,0,0,0,44,57,0
09-19-11,0,0,40,0,0,0,54,0,0,42,0,0,0,45,57,0
09-19-21,0,0,43,0,0,0,0,0,0,41,0,0,0,46,57,0
09-19-31,0,0,41,0,0,0,54,0,0,33,0,0,33,45,56,0
09-19-41,0,0,43,0,0,33,55,0,0,41,0,0,0,45,58,0
09-19-51,33,0,40,0,0,0,54,0,0,38,0,0,0,45,58,0
09-20-01,0,0,43,0,0,0,55,0,0,41,0,0,0,37,57,0
09-20-11,0,0,41,0,0,0,54,0,0,42,0,0,0,45,57,0
09-20-21,0,0,0,0,0,33,52,0,0,39,0,0,0,45,57,0
09-20-31,0,0,39,0,0,0,51,0,0,0,0,0,0,43,58,0
09-20-41,33,0,39,0,0,0,53,0,0,42,0,0,0,45,57,0
09-20-51,0,0,43,0,0,36,54,0,0,38,0,0,0,45,58,0
09-21-01,0,0,0,0,0,35,39,0,0,0,0,0,0,34,43,0
09-21-11,0,33,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-21-21,0,34,0,0,0,33,33,0,0,33,0,0,0,34,0,0
09-21-31,0,36,0,0,0,0,0,0,0,33,0,0,0,36,0,0
09-21-41,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
09-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
09-22-11,0,0,0,0,0,0,38,0,0,0,0,0,0,33,33,0
09-23-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-23-21,0,0,36,0,0,0,39,0,0,0,0,0,0,0,41,0
09-23-31,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-23-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-24-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-24-31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-25-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-25-21,0,0,33,0,0,0,44,0,0,0,0,0,0,0,0,0
09-27-31,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-27-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-27-51,0,0,33,0,0,33,0,0,0,38,0,0,0,35,0,0
09-28-11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-28-21,0,0,33,0,0,0,0,0,0,0,0,0,0,36,0,0
09-28-31,0,36,34,0,0,0,0,0,0,37,0,0,0,37,0,0
09-28-41,0,0,0,0,0,33,0,0,0,0,0,0,0,39,0,0
09-28-51,0,33,38,0,0,0,0,0,0,36,0,0,0,38,0,0
09-29-01,0,0,34,0,0,36,0,0,0,0,0,0,0,0,0,0
09-34-41,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
09-37-21,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-40-21,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
09-41-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-41-31,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
09-41-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-44-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-47-31,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
