date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-13-41,0,46,0,60,0,47,62,0,0,51,0,0,39,51,56,0
09-13-51,0,49,0,60,0,45,63,0,40,49,0,0,36,53,57,0
09-14-01,0,49,0,60,0,42,62,0,0,52,0,0,37,59,0,0
09-14-11,0,52,0,59,0,0,63,38,0,53,0,0,0,0,57,0
09-14-21,0,40,0,61,0,47,63,0,38,0,0,0,0,0,56,31
09-14-31,0,49,0,59,0,0,62,42,39,55,0,0,0,56,56,0
09-14-41,0,51,0,59,0,0,62,40,0,52,0,0,40,55,57,0
09-14-51,0,52,0,0,0,51,64,0,42,0,0,0,0,56,53,0
09-15-01,0,46,0,31,31,0,66,41,0,53,0,0,34,54,56,0
09-15-11,0,46,0,31,0,49,65,0,38,53,0,0,34,55,56,0
09-15-21,0,48,0,0,0,52,64,0,0,54,0,0,0,55,55,0
09-15-31,0,47,0,0,0,53,65,0,38,55,0,0,35,56,55,31
09-15-41,0,0,0,0,31,52,66,0,0,52,0,0,0,57,56,0
09-15-51,0,48,0,0,0,52,63,40,38,55,0,0,0,57,0,0
09-16-01,0,47,0,0,0,51,63,0,38,0,0,0,0,54,56,0
09-16-11,0,45,0,33,0,53,65,39,34,54,0,0,33,58,56,0
09-16-21,0,44,0,35,0,54,64,0,37,52,0,0,0,58,56,0
09-16-31,0,45,0,51,0,50,64,39,38,51,0,0,0,57,56,0
09-16-41,0,46,0,31,0,50,64,0,0,54,0,0,0,56,56,0
09-16-51,0,46,0,0,0,52,65,40,0,54,0,0,0,58,56,0
09-17-01,0,45,0,0,0,52,64,40,37,54,0,0,0,55,56,0
09-17-11,0,45,0,0,0,54,66,0,38,54,0,0,34,57,56,0
09-17-21,0,46,0,0,0,52,64,39,0,52,0,0,0,56,56,0
09-17-31,0,46,0,0,0,52,64,39,38,53,0,0,32,56,49,0
09-17-41,0,45,0,0,0,52,64,37,39,54,0,0,0,56,56,0
09-17-51,0,45,0,0,0,52,65,41,0,54,0,0,32,58,56,0
09-18-01,0,45,0,0,0,53,64,39,41,0,0,0,31,56,54,0
09-18-11,0,45,0,0,0,44,64,41,37,54,0,0,0,56,0,0
09-18-21,0,43,0,0,0,53,64,36,35,53,0,0,35,56,55,0
09-18-31,0,45,0,0,0,0,64,39,0,54,0,0,33,56,56,0
09-18-41,0,46,0,0,0,53,64,0,0,52,0,0,33,55,55,0
09-18-51,0,45,0,0,0,52,64,0,0,51,0,0,34,56,56,0
09-19-01,0,42,0,0,0,50,65,0,0,53,0,0,34,56,56,0
09-19-11,0,43,0,0,0,54,65,39,38,52,0,0,33,57,55,0
09-19-21,0,0,0,0,0,51,64,0,0,54,0,0,0,56,54,0
09-19-31,0,43,0,0,0,49,65,0,0,46,0,0,0,55,56,0
09-19-41,0,46,0,0,0,52,65,0,38,0,0,0,33,55,56,0
09-19-51,0,0,0,0,31,50,65,0,37,56,0,0,35,55,56,0
09-20-01,0,43,0,0,31,0,65,0,37,50,0,0,0,56,57,0
09-20-11,0,41,0,0,0,49,65,0,0,52,0,0,0,55,58,31
09-20-21,0,46,0,0,31,52,64,0,0,52,0,0,32,57,56,0
09-20-31,0,46,0,0,0,54,65,0,0,0,0,0,46,57,58,31
09-20-41,0,0,0,0,0,0,64,43,0,50,0,0,0,56,56,0
09-20-51,0,43,0,0,0,54,56,0,40,53,0,0,47,58,61,0
09-21-01,45,0,0,0,0,50,38,36,38,54,0,0,45,56,37,31
09-21-11,0,45,0,0,0,49,0,0,0,54,0,0,46,56,0,0
09-21-21,0,41,0,0,0,52,33,0,40,0,0,0,47,55,45,0
09-21-31,0,43,0,0,0,52,0,0,0,53,0,0,47,55,46,0
09-21-41,0,44,0,0,0,53,0,0,0,47,0,0,47,58,0,0
09-21-51,0,45,0,0,0,53,0,0,0,52,0,0,46,58,46,0
09-22-01,44,47,0,0,0,55,36,0,37,53,0,0,46,58,47,0
09-22-11,45,0,0,0,0,50,40,0,0,54,0,0,45,58,49,0
09-22-21,0,44,0,0,0,0,0,0,42,54,0,0,46,53,48,0
09-22-31,42,47,0,0,0,51,57,0,35,0,0,0,0,57,47,0
09-22-41,0,45,0,0,0,53,58,0,0,53,0,0,0,51,48,0
09-22-51,0,46,0,0,0,52,58,0,38,53,0,0,0,57,42,0
09-23-01,0,46,0,0,0,53,58,0,0,54,0,0,48,54,0,0
09-23-11,0,44,0,0,0,52,31,0,0,54,0,0,47,54,42,0
09-23-21,0,0,0,0,0,48,0,33,40,54,0,0,48,54,44,0
09-23-31,0,46,0,0,0,0,0,0,0,52,0,0,49,54,0,31
09-23-41,42,48,0,0,0,53,0,0,40,52,0,0,48,55,47,0
09-23-51,0,47,0,0,0,51,35,0,0,51,0,0,47,56,48,0
09-24-01,0,49,0,0,0,0,0,0,40,48,0,0,47,56,51,0
09-24-11,47,48,0,0,0,53,32,0,42,50,0,0,49,48,42,0
09-24-21,0,43,0,0,0,52,53,0,41,51,0,0,50,53,37,0
09-24-31,0,47,0,0,0,0,0,0,42,50,0,0,49,51,41,33
09-24-41,0,45,0,0,0,48,31,0,40,53,0,0,51,49,0,0
09-24-51,48,43,0,0,0,51,0,0,41,52,0,0,51,47,0,0
09-25-01,0,48,0,0,0,51,0,0,42,49,0,0,51,52,0,0
09-25-11,0,43,0,0,0,49,0,0,42,48,0,0,49,50,0,0
09-25-21,0,0,0,0,0,48,36,0,0,47,0,0,51,51,40,0
09-25-31,0,49,0,0,0,47,0,0,0,44,0,0,51,51,0,32
09-25-41,0,47,0,0,0,52,31,0,0,46,0,0,51,0,0,33
09-25-51,0,47,0,0,0,52,36,0,0,40,0,0,50,47,46,0
09-26-01,0,47,0,0,0,52,0,0,0,49,0,0,52,42,42,33
09-26-11,0,47,0,0,0,53,0,0,0,48,0,0,50,51,0,31
09-26-21,0,46,0,0,31,53,33,0,0,49,0,0,0,51,55,33
09-26-31,0,46,0,0,0,52,36,0,0,49,0,0,51,50,32,0
09-26-41,47,45,0,0,0,52,40,0,0,49,0,0,51,52,0,31
09-26-51,0,46,0,0,31,47,35,0,0,51,0,0,52,51,0,31
