date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,49,40,0,0,58,0,0,0,0,0,0,40,59,0
09-01-01,0,0,52,0,0,0,58,0,0,40,0,0,0,45,60,0
09-02-01,0,0,51,0,0,0,58,0,0,0,0,0,0,46,58,0
09-03-01,0,0,51,41,0,0,59,0,0,0,0,0,0,45,58,0
09-04-01,0,0,50,37,0,0,58,0,0,39,0,0,0,0,58,0
09-05-01,0,0,48,40,0,0,59,0,0,41,0,0,0,48,58,0
09-06-01,0,0,51,39,0,0,58,0,0,39,0,0,0,46,59,0
09-07-01,0,33,51,40,0,0,57,0,0,39,0,0,0,0,57,0
09-08-01,0,0,51,40,0,0,60,0,0,0,0,0,0,46,59,0
09-09-01,0,0,49,0,0,0,59,0,0,40,0,0,0,44,59,0
09-10-01,0,0,52,40,0,0,55,0,0,40,0,0,35,46,59,0
09-11-01,0,0,49,39,0,0,0,0,0,39,0,0,0,46,59,0
09-12-01,0,0,51,40,0,0,58,0,0,36,0,0,0,46,59,0
09-13-01,0,0,50,38,0,0,59,0,0,0,0,0,0,45,58,0
09-14-01,0,33,45,33,0,0,54,0,0,38,0,0,0,44,56,0
09-15-01,0,0,43,0,0,0,54,0,0,39,0,0,0,43,58,0
09-16-01,0,0,42,0,0,0,54,0,0,39,0,0,0,44,58,0
09-17-01,0,0,39,0,0,33,54,0,0,41,0,0,0,45,57,0
09-18-01,0,0,43,0,0,0,54,0,0,0,0,0,0,46,58,0
09-19-01,33,0,43,0,0,33,54,0,0,41,0,0,0,44,57,0
09-20-01,0,0,43,0,0,0,55,0,0,41,0,0,0,37,57,0
09-21-01,0,0,0,0,0,35,39,0,0,0,0,0,0,34,43,0
09-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
09-23-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-24-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-25-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-27-31,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-28-11,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-29-01,0,0,34,0,0,36,0,0,0,0,0,0,0,0,0,0
09-34-41,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
09-37-21,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-40-21,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
09-41-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-44-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-47-31,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
09-48-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-49-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-50-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-51-31,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-52-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-53-11,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-54-51,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
09-59-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
10-03-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-11-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-13-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-15-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-31,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-21,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-28-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-29-21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-30-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-31-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33-11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-36-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
10-38-31,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
10-39-21,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
10-41-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0
10-42-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-43-21,0,0,0,0,0,0,33,0,0,50,0,0,0,0,0,0
10-45-11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-47-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-48-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-50-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-51-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-53-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
10-54-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-55-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-56-21,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
10-57-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-08-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-10-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-11-51,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-12-51,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-18-51,0,36,0,0,0,0,34,0,0,0,0,0,0,34,0,0
11-19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-20-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-21-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-22-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
11-23-31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-25-11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-31-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-37-51,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-40-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-41-51,0,33,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-42-21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-47-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-48-21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-49-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-50-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
11-51-51,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
11-52-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-53-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-54-51,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-55-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-58-31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-59-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-00-31,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
12-02-21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
12-05-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-06-41,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
12-21-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
12-24-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-34-01,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
12-37-41,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
12-38-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-41-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-42-21,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-48-11,0,0,0,0,0,0,43,0,0,0,0,0,0,0,38,0
12-50-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,33,0
12-51-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-52-11,0,35,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-55-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-05-01,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
13-06-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-07-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-10-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-11-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
13-12-11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
13-13-31,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
13-15-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-26-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-27-01,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
13-32-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
13-37-51,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-11,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
13-41-01,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
13-42-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-44-21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-45-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-47-11,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
13-48-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
13-49-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-50-01,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
14-00-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
14-01-01,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0
14-02-11,0,0,0,0,0,0,33,0,0,33,0,0,0,34,34,0
14-03-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,35,0
14-06-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
14-07-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-08-31,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,0
14-09-51,0,35,0,0,0,0,0,0,0,0,0,0,0,33,0,0
14-13-41,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
14-14-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
14-15-01,0,0,0,0,0,0,38,0,33,0,0,0,0,0,0,0
14-21-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
14-27-41,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
14-28-21,0,0,0,0,0,0,0,0,0,53,0,0,0,34,54,0
14-29-11,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
14-33-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
14-35-31,0,0,33,0,0,0,35,0,0,0,0,0,0,0,0,0
14-36-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
14-40-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
14-41-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-43-51,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
14-47-21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-49-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-50-31,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
14-57-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
14-58-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
14-59-01,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
15-00-21,0,33,41,37,0,41,0,0,0,46,0,0,0,42,38,0
15-01-01,0,0,33,43,0,39,0,0,0,59,0,0,0,39,52,0
15-02-01,0,0,0,44,0,33,0,0,0,59,0,0,0,37,54,0
15-03-01,0,0,0,45,0,38,0,0,0,61,0,0,0,37,54,0
15-04-01,0,33,0,41,0,47,46,0,0,59,0,0,0,33,51,0
15-05-01,0,33,35,37,0,47,42,0,0,59,0,0,0,33,52,0
15-06-01,0,0,37,0,0,49,39,0,0,60,0,0,0,0,53,0
15-07-01,0,0,0,0,0,51,46,0,0,59,0,0,0,0,51,0
15-08-01,0,0,0,41,0,0,0,0,0,60,0,0,0,34,54,0
15-09-01,0,0,37,41,0,50,46,0,0,59,0,0,0,0,54,0
15-10-01,0,0,37,40,0,51,46,0,0,59,0,0,0,0,52,0
15-11-01,0,0,37,40,0,46,0,0,33,60,0,0,0,0,53,0
15-12-01,0,33,35,39,0,43,47,0,0,60,0,0,0,35,52,0
15-13-01,0,0,36,42,0,48,47,0,0,59,0,0,0,33,53,0
15-14-01,0,0,37,0,0,47,44,0,0,57,0,0,0,0,52,0
15-15-01,0,0,38,0,0,49,43,0,0,59,0,0,0,0,53,0
15-16-01,0,0,37,37,0,48,43,0,0,60,0,0,0,0,53,0
15-17-01,0,0,37,40,0,49,47,0,0,60,0,0,0,33,52,0
15-18-01,0,0,37,0,0,48,45,0,0,58,0,0,0,35,53,0
15-19-01,0,0,0,40,0,50,0,0,0,59,0,0,0,34,53,0
15-20-01,0,0,37,38,0,47,46,0,0,59,0,0,0,36,50,0
15-21-01,0,33,0,41,0,49,46,0,0,60,0,0,0,34,53,0
15-22-01,0,0,33,35,0,0,45,0,0,59,0,0,0,37,53,0
15-23-01,0,0,36,41,0,47,46,0,0,59,0,0,0,35,52,0
15-24-01,0,0,0,41,0,47,47,0,0,60,0,0,0,37,52,0
15-25-01,0,0,0,42,0,0,46,0,0,57,0,0,0,33,53,0
15-26-01,0,33,0,0,0,47,47,0,0,59,0,0,0,33,53,0
15-27-01,0,0,0,43,0,48,46,0,0,60,0,0,0,0,52,0
15-28-01,0,0,0,42,0,48,47,0,0,58,0,0,0,0,53,0
15-29-01,0,33,37,42,0,48,46,0,0,60,0,0,0,33,53,0
15-30-01,0,33,37,43,0,47,45,0,0,59,0,0,0,0,53,0
15-31-01,0,0,37,42,0,47,47,0,0,60,0,0,0,0,53,0
15-32-01,0,0,37,42,0,48,47,0,0,60,0,0,0,0,47,0
15-33-01,0,0,36,0,0,48,49,0,0,62,0,0,0,34,54,0
15-34-01,0,0,36,38,0,37,49,0,0,56,0,0,0,0,52,0
15-35-01,0,0,0,40,0,48,49,0,0,60,0,0,0,33,52,0
15-36-01,0,0,36,42,0,0,46,0,0,60,0,0,0,33,54,0
15-37-01,0,0,35,43,0,47,49,0,0,60,0,0,0,0,53,0
15-38-01,0,0,33,41,0,47,48,0,0,59,0,0,0,33,53,0
15-39-01,0,0,0,41,0,0,49,0,0,60,0,0,0,33,53,0
15-40-01,0,0,33,42,0,48,47,0,0,59,0,0,0,33,54,0
15-41-01,0,0,0,41,0,51,47,0,0,54,0,0,0,0,53,0
15-42-01,0,0,39,42,0,0,38,0,0,58,0,0,0,0,53,0
15-43-01,0,33,0,0,0,50,45,0,0,60,0,0,0,35,51,0
15-44-01,0,0,37,40,0,48,46,0,0,60,0,0,0,33,53,0
15-45-01,0,0,0,41,0,50,47,0,0,58,0,0,0,33,53,0
15-46-01,0,0,39,0,0,49,41,0,0,59,0,0,0,0,53,0
15-47-01,0,0,39,41,0,48,46,0,0,59,0,0,0,0,53,0
15-48-01,0,0,0,41,0,50,46,0,0,61,0,0,0,0,54,0
15-49-01,0,0,39,41,0,47,46,0,0,60,0,0,0,33,53,0
15-50-01,0,33,39,40,0,50,46,0,0,60,0,0,0,0,51,0
15-51-01,0,33,37,41,0,50,48,0,0,60,0,0,0,33,52,0
15-52-01,0,33,38,0,0,50,46,0,0,60,0,0,0,33,51,0
15-53-01,0,0,38,42,0,50,46,0,0,59,0,0,0,33,52,0
15-54-01,0,0,38,41,0,50,47,0,0,59,0,0,0,34,52,0
15-55-01,0,0,37,41,0,50,46,0,0,59,0,0,0,35,53,0
15-56-01,0,0,39,41,0,47,46,0,0,60,0,0,0,33,52,0
15-57-01,0,0,38,41,0,49,45,0,0,59,0,0,0,0,54,0
15-58-01,0,0,36,41,0,47,47,0,0,59,0,0,0,33,54,0
15-59-01,0,0,39,41,0,50,47,0,0,59,0,0,0,33,51,0
