date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin
09-28-45,0,52,62,39,45,53,60,0,56,0,32
09-28-55,0,53,62,39,45,53,60,0,56,0,34
09-29-05,0,53,61,39,45,53,60,0,56,0,32
09-29-15,0,53,62,39,47,54,60,0,56,0,33
09-29-25,0,53,62,35,46,53,60,0,55,0,33
09-29-35,0,53,62,39,45,54,60,0,55,0,32
09-29-45,0,52,62,36,45,54,59,0,56,0,32
09-29-55,0,53,62,38,44,53,59,0,56,0,32
09-30-05,0,53,62,37,45,53,59,0,56,0,0
09-30-15,0,53,62,38,44,52,60,0,56,0,0
09-30-25,0,53,62,36,44,53,60,0,56,0,0
09-30-35,0,53,62,39,45,53,59,0,56,0,0
09-30-45,0,53,62,34,46,54,59,0,55,0,0
09-30-55,0,53,62,32,45,53,59,0,56,0,0
09-31-05,0,53,61,35,45,54,60,0,56,0,0
09-31-15,0,53,62,33,44,52,60,0,47,0,0
09-31-25,0,52,62,34,45,53,60,0,35,0,0
09-31-35,0,53,62,37,44,52,60,0,38,0,0
09-31-45,0,53,62,42,43,53,60,0,33,0,0
09-31-55,0,53,62,34,44,52,59,0,32,0,33
09-32-05,0,53,62,0,45,52,59,0,44,0,32
09-32-15,0,53,62,0,43,52,60,0,43,0,0
09-32-25,0,52,62,33,43,52,59,0,44,0,32
09-32-35,0,53,62,0,45,51,59,0,41,0,33
09-32-45,0,53,62,33,44,52,60,0,45,0,32
09-32-55,0,53,62,0,44,52,60,0,34,0,0
09-33-05,0,53,62,32,43,52,60,0,0,0,33
09-33-15,0,53,62,0,44,51,60,0,32,0,0
09-33-25,0,53,62,0,44,52,59,0,0,0,0
09-33-35,0,52,62,0,44,52,59,0,0,0,0
09-33-45,0,53,62,0,45,51,59,0,33,0,0
09-33-55,0,52,62,32,44,52,59,0,0,0,0
09-34-05,0,53,62,0,44,51,59,0,0,0,0
09-34-15,0,53,63,0,44,52,60,0,33,0,0
09-34-25,0,52,62,0,43,52,59,0,0,0,0
09-34-35,0,52,62,0,44,52,59,0,0,0,0
09-34-45,0,52,62,0,43,52,59,0,0,0,0
