date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,0,60,65,62,0,57,59,57,60,35,37
09-00-15,0,61,64,63,0,56,59,56,60,33,43
09-00-25,0,60,65,62,0,57,59,56,60,35,37
09-00-35,0,60,65,62,0,57,60,56,60,34,33
09-00-45,0,61,64,63,0,57,60,56,59,34,36
09-00-55,0,60,64,62,0,56,59,56,60,50,36
09-01-05,0,60,65,62,0,57,59,57,60,40,37
09-01-15,0,61,64,63,0,57,59,57,60,35,39
09-01-25,0,60,65,63,0,56,59,57,60,45,38
09-01-35,0,60,65,62,0,56,59,56,60,38,39
09-01-45,0,60,64,62,0,56,59,57,60,0,40
09-01-55,0,60,65,62,0,57,58,57,59,0,43
09-02-05,0,60,65,63,0,57,58,58,59,0,40
09-02-15,0,60,65,62,0,57,58,58,60,0,43
09-02-25,0,60,65,63,0,58,59,57,59,0,45
09-02-35,0,60,65,63,0,57,59,58,60,0,49
09-02-45,0,60,64,63,0,57,58,57,60,0,43
09-02-55,0,60,65,62,0,56,58,57,60,0,43
09-03-05,0,60,65,62,0,56,58,57,60,0,37
09-03-15,0,60,65,63,0,56,58,57,60,0,37
09-03-25,0,60,65,62,0,56,58,57,60,0,39
09-03-35,0,60,65,62,0,56,57,57,59,0,38
09-03-45,0,60,65,62,0,56,58,57,60,0,38
09-03-55,0,60,65,62,0,56,58,56,60,0,38
09-04-05,0,60,65,62,0,56,59,57,60,0,38
09-04-15,0,60,65,62,0,56,58,57,60,0,38
09-04-25,0,60,64,62,0,56,58,58,60,0,42
09-04-35,0,60,65,63,0,57,58,57,60,0,41
09-04-45,0,60,65,62,0,56,58,57,60,0,39
09-04-55,0,60,65,62,0,57,58,57,60,0,42
09-05-05,0,60,65,62,0,56,58,57,60,0,41
09-05-15,0,60,64,63,0,58,59,57,59,0,46
09-05-25,0,59,64,63,0,57,60,57,59,0,47
09-05-35,0,57,65,62,0,57,59,58,60,0,44
09-05-45,0,56,64,62,0,58,59,57,59,0,46
09-05-55,0,57,64,63,0,57,58,56,59,0,43
09-06-05,0,56,64,62,0,57,59,57,59,0,44
09-06-15,0,57,64,62,0,57,58,56,59,0,44
09-06-25,0,57,64,63,0,57,58,56,59,0,43
09-06-35,0,57,64,62,0,57,59,57,58,0,44
09-06-45,0,57,64,62,0,57,58,57,59,0,42
09-06-55,0,57,64,62,0,57,59,56,59,0,43
09-07-05,0,57,64,62,0,57,58,56,59,0,43
09-07-15,0,57,65,62,0,56,59,57,60,0,42
09-07-25,0,57,64,62,0,56,58,57,59,0,43
09-07-35,0,57,65,63,0,56,59,57,59,0,43
09-07-45,0,57,64,63,0,57,58,57,60,0,43
09-07-55,0,57,65,62,0,56,58,57,60,0,43
09-08-05,0,57,65,62,0,56,59,57,59,0,43
09-08-15,43,57,65,62,0,56,58,57,59,0,43
09-08-25,0,56,64,62,0,56,59,57,59,0,43
09-08-35,0,57,64,62,0,56,59,56,59,0,43
09-08-45,0,56,64,62,0,56,59,57,59,0,43
09-08-55,0,57,64,63,0,57,59,56,59,0,44
09-09-05,0,56,64,62,0,57,59,56,59,0,44
09-09-15,0,57,65,63,0,57,58,57,60,0,43
09-09-25,0,57,65,63,0,57,59,57,60,0,43
09-09-35,0,56,65,62,0,57,58,57,60,0,43
09-09-45,0,57,65,62,0,56,58,57,59,0,42
09-09-55,0,57,64,62,0,57,59,56,59,0,43
09-10-05,0,56,64,62,0,57,59,57,59,43,43
09-10-15,0,57,64,62,0,57,60,57,59,56,43
09-10-25,0,57,65,62,0,57,59,57,58,62,44
09-10-35,0,56,64,62,0,57,59,57,58,62,44
09-10-45,0,57,64,62,0,57,59,57,59,62,44
09-10-55,0,57,64,63,0,57,59,57,58,61,44
09-11-05,0,57,64,62,0,57,59,56,58,62,43
09-11-15,0,57,64,62,0,57,59,56,59,61,44
09-11-25,0,56,64,62,0,57,59,57,59,61,42
09-11-35,0,57,64,62,0,57,58,57,59,62,42
09-11-45,0,57,64,63,0,57,59,57,59,62,44
09-11-55,0,58,64,63,0,57,59,58,60,61,43
09-12-05,0,58,64,63,0,57,58,57,60,61,43
09-12-15,0,52,64,63,0,57,58,59,59,61,43
09-12-25,0,46,64,63,0,56,58,58,60,61,47
09-12-35,0,48,64,62,0,56,59,58,60,61,47
09-12-45,0,34,64,63,0,56,58,58,60,60,47
09-12-55,0,34,64,63,0,57,58,58,60,60,47
09-13-05,0,35,64,63,0,57,58,57,60,60,47
09-13-15,0,34,64,62,0,56,59,58,60,61,46
09-13-25,0,36,64,62,0,57,58,57,60,61,47
09-13-35,0,35,64,62,0,57,59,59,49,62,44
09-13-45,0,35,64,62,0,56,59,58,39,61,44
09-13-55,0,34,64,62,0,56,59,58,36,60,45
09-14-05,0,35,63,62,0,56,59,58,40,61,44
09-14-15,0,36,63,62,0,56,59,58,41,62,44
09-14-25,0,36,64,62,0,56,60,59,42,60,43
09-14-35,0,34,64,62,0,56,59,58,42,61,45
09-14-45,0,34,64,62,0,55,59,58,41,61,47
09-14-55,0,0,40,38,0,43,35,38,35,46,44
09-15-05,0,38,60,52,0,57,43,61,34,49,50
09-15-15,0,40,62,54,0,56,53,62,33,47,49
09-15-25,0,38,63,34,0,56,38,62,33,48,49
09-15-35,0,40,50,49,0,55,36,61,33,49,49
09-15-45,0,42,33,53,0,55,34,62,34,50,48
09-15-55,0,39,35,56,0,56,39,62,38,47,47
09-16-05,0,37,40,56,0,55,40,62,35,42,50
09-16-15,0,39,45,55,0,56,39,39,33,35,51
09-16-25,0,40,45,56,0,56,41,55,35,37,57
09-16-35,0,39,45,56,0,56,36,56,34,41,56
09-16-45,0,37,47,56,0,56,36,55,33,43,53
09-16-55,0,38,48,55,0,56,41,56,33,38,53
09-17-05,0,39,45,56,0,56,38,56,40,43,52
09-17-15,0,39,44,56,0,57,37,56,39,39,52
09-17-25,0,41,45,56,0,55,39,55,39,48,46
09-17-35,0,40,46,56,0,55,43,56,39,48,36
09-17-45,0,40,49,56,0,55,42,56,38,48,0
09-17-55,0,40,47,56,0,54,43,56,38,48,0
09-18-05,0,40,48,56,0,54,42,54,38,48,0
09-18-15,0,40,48,56,0,55,43,55,38,47,32
09-18-25,0,40,48,55,0,55,42,55,39,48,0
09-18-35,0,40,47,56,0,55,43,55,39,48,0
09-18-45,0,40,48,56,0,55,43,55,39,48,0
09-18-55,0,39,49,56,0,55,42,55,38,48,33
09-19-05,0,42,49,56,0,55,42,55,39,48,36
09-19-15,0,41,48,56,0,55,43,56,38,49,0
09-19-25,0,41,48,55,0,55,42,55,39,48,0
09-19-35,0,41,48,56,0,56,44,55,40,49,0
09-19-45,0,39,50,56,0,56,46,55,38,47,0
09-19-55,0,40,48,56,0,55,45,56,40,47,0
09-20-05,0,41,49,56,0,57,44,56,40,48,0
09-20-15,0,42,48,56,0,56,44,55,41,49,0
09-20-25,0,42,48,56,0,57,44,55,41,49,33
09-20-35,0,41,47,57,0,56,45,55,42,48,33
09-20-45,0,41,47,56,0,56,43,55,42,48,32
09-20-55,0,42,49,56,0,56,45,56,42,49,0
09-21-05,0,41,48,56,0,56,44,55,42,48,32
09-21-15,0,42,48,56,0,56,45,55,42,48,32
09-21-25,0,41,47,55,0,56,43,55,41,48,32
09-21-35,0,41,48,57,0,56,45,55,42,48,33
09-21-45,0,41,49,56,0,56,45,55,43,48,36
